rate_date,from_currency,to_currency,rate
2022-05-16,EUR,GBP,0.818161
2022-05-16,USD,GBP,0.782144
2022-05-17,EUR,GBP,0.814673
2022-05-17,USD,GBP,0.782569
2022-05-18,EUR,GBP,0.812922
2022-05-18,USD,GBP,0.785155
2022-05-19,EUR,GBP,0.812777
2022-05-19,USD,GBP,0.786862
2022-05-20,EUR,GBP,0.81791
2022-05-20,USD,GBP,0.784025
2022-05-23,EUR,GBP,0.812266
2022-05-23,USD,GBP,0.791063
2022-05-24,EUR,GBP,0.816212
2022-05-24,USD,GBP,0.79161
2022-05-25,EUR,GBP,0.816671
2022-05-25,USD,GBP,0.790177
2022-05-26,EUR,GBP,0.813795
2022-05-26,USD,GBP,0.788944
2022-05-27,EUR,GBP,0.818344
2022-05-27,USD,GBP,0.786187
2022-05-30,EUR,GBP,0.820927
2022-05-30,USD,GBP,0.787297
2022-05-31,EUR,GBP,0.821097
2022-05-31,USD,GBP,0.784492
2022-06-01,EUR,GBP,0.82242
2022-06-01,USD,GBP,0.783622
2022-06-02,EUR,GBP,0.821144
2022-06-02,USD,GBP,0.784067
2022-06-03,EUR,GBP,0.818184
2022-06-03,USD,GBP,0.789503
2022-06-06,EUR,GBP,0.817464
2022-06-06,USD,GBP,0.783547
2022-06-07,USD,GBP,0.782154
2022-06-08,EUR,GBP,0.821988
2022-06-08,USD,GBP,0.783863
2022-06-09,EUR,GBP,0.824964
2022-06-09,USD,GBP,0.781657
2022-06-10,EUR,GBP,0.823564
2022-06-10,USD,GBP,0.781242
2022-06-13,EUR,GBP,0.818445
2022-06-13,USD,GBP,0.780371
2022-06-14,EUR,GBP,0.813634
2022-06-14,USD,GBP,0.777252
2022-06-15,EUR,GBP,0.820228
2022-06-15,USD,GBP,0.777745
2022-06-16,EUR,GBP,0.817219
2022-06-16,USD,GBP,0.779619
2022-06-17,EUR,GBP,0.826944
2022-06-17,USD,GBP,0.778727
2022-06-20,EUR,GBP,0.833844
2022-06-20,USD,GBP,0.783353
2022-06-21,EUR,GBP,0.831583
2022-06-21,USD,GBP,0.784115
2022-06-22,EUR,GBP,0.833039
2022-06-22,USD,GBP,0.785644
2022-06-23,EUR,GBP,0.836097
2022-06-23,USD,GBP,0.790053
2022-06-24,EUR,GBP,0.832737
2022-06-24,USD,GBP,0.78954
2022-06-27,EUR,GBP,0.829735
2022-06-27,USD,GBP,0.78459
2022-06-28,EUR,GBP,0.82518
2022-06-28,USD,GBP,0.782373
2022-06-29,EUR,GBP,0.821706
2022-06-29,USD,GBP,0.781466
2022-06-30,EUR,GBP,0.812719
2022-06-30,USD,GBP,0.780079
2022-07-01,EUR,GBP,0.809704
2022-07-01,USD,GBP,0.776317
2022-07-04,EUR,GBP,0.805732
2022-07-04,USD,GBP,0.773178
2022-07-05,EUR,GBP,0.806719
2022-07-05,USD,GBP,0.772125
2022-07-06,EUR,GBP,0.802576
2022-07-06,USD,GBP,0.772133
2022-07-07,EUR,GBP,0.807007
2022-07-07,USD,GBP,0.77468
2022-07-08,EUR,GBP,0.810726
2022-07-08,USD,GBP,0.778396
2022-07-11,EUR,GBP,0.815161
2022-07-11,USD,GBP,0.772593
2022-07-12,EUR,GBP,0.816356
2022-07-12,USD,GBP,0.77303
2022-07-13,EUR,GBP,0.817932
2022-07-13,USD,GBP,0.765939
2022-07-14,EUR,GBP,0.818638
2022-07-14,USD,GBP,0.770855
2022-07-15,EUR,GBP,0.817906
2022-07-15,USD,GBP,0.770821
2022-07-18,EUR,GBP,0.82065
2022-07-18,USD,GBP,0.766935
2022-07-19,EUR,GBP,0.827856
2022-07-19,USD,GBP,0.764709
2022-07-20,EUR,GBP,0.824588
2022-07-20,USD,GBP,0.766382
2022-07-21,EUR,GBP,0.824012
2022-07-21,USD,GBP,0.764148
2022-07-22,EUR,GBP,0.82534
2022-07-22,USD,GBP,0.764438
2022-07-25,EUR,GBP,0.827245
2022-07-25,USD,GBP,0.764929
2022-07-26,EUR,GBP,0.827715
2022-07-26,USD,GBP,0.765775
2022-07-27,EUR,GBP,0.829555
2022-07-27,USD,GBP,0.76568
2022-07-28,EUR,GBP,0.82787
2022-07-28,USD,GBP,0.760799
2022-07-29,EUR,GBP,0.825658
2022-07-29,USD,GBP,0.76189
2022-08-01,EUR,GBP,0.820816
2022-08-01,USD,GBP,0.763522
2022-08-02,EUR,GBP,0.82022
2022-08-02,USD,GBP,0.764615
2022-08-03,EUR,GBP,0.817782
2022-08-03,USD,GBP,0.765597
2022-08-04,EUR,GBP,0.818133
2022-08-04,USD,GBP,0.765762
2022-08-05,EUR,GBP,0.814089
2022-08-05,USD,GBP,0.768715
2022-08-08,EUR,GBP,0.813546
2022-08-08,USD,GBP,0.77219
2022-08-09,EUR,GBP,0.806449
2022-08-09,USD,GBP,0.77091
2022-08-10,EUR,GBP,0.806614
2022-08-10,USD,GBP,0.769053
2022-08-11,EUR,GBP,0.806001
2022-08-11,USD,GBP,0.765953
2022-08-12,EUR,GBP,0.804611
2022-08-12,USD,GBP,0.766432
2022-08-15,EUR,GBP,0.797604
2022-08-15,USD,GBP,0.759761
2022-08-16,EUR,GBP,0.798232
2022-08-16,USD,GBP,0.763622
2022-08-17,EUR,GBP,0.800451
2022-08-17,USD,GBP,0.76285
2022-08-18,EUR,GBP,0.802299
2022-08-18,USD,GBP,0.766352
2022-08-19,EUR,GBP,0.796526
2022-08-19,USD,GBP,0.761327
2022-08-22,EUR,GBP,0.791247
2022-08-22,USD,GBP,0.758575
2022-08-23,EUR,GBP,0.789974
2022-08-23,USD,GBP,0.761087
2022-08-24,EUR,GBP,0.792183
2022-08-24,USD,GBP,0.758231
2022-08-25,EUR,GBP,0.78802
2022-08-25,USD,GBP,0.761242
2022-08-26,EUR,GBP,0.790631
2022-08-26,USD,GBP,0.761933
2022-08-29,EUR,GBP,0.798527
2022-08-29,USD,GBP,0.759272
2022-08-30,EUR,GBP,0.796682
2022-08-30,USD,GBP,0.754745
2022-08-31,EUR,GBP,0.799546
2022-08-31,USD,GBP,0.755617
2022-09-01,EUR,GBP,0.79804
2022-09-01,USD,GBP,0.753136
2022-09-02,EUR,GBP,0.795334
2022-09-02,USD,GBP,0.754698
2022-09-05,EUR,GBP,0.7987
2022-09-05,USD,GBP,0.755298
2022-09-06,EUR,GBP,0.798678
2022-09-06,USD,GBP,0.756652
2022-09-07,EUR,GBP,0.802774
2022-09-07,USD,GBP,0.756788
2022-09-08,EUR,GBP,0.805472
2022-09-08,USD,GBP,0.756587
2022-09-09,EUR,GBP,0.805604
2022-09-09,USD,GBP,0.759647
2022-09-12,EUR,GBP,0.807373
2022-09-12,USD,GBP,0.753636
2022-09-13,EUR,GBP,0.810037
2022-09-13,USD,GBP,0.754163
2022-09-14,EUR,GBP,0.808666
2022-09-14,USD,GBP,0.750193
2022-09-15,EUR,GBP,0.807179
2022-09-15,USD,GBP,0.754823
2022-09-16,EUR,GBP,0.8062
2022-09-16,USD,GBP,0.753539
2022-09-19,EUR,GBP,0.803897
2022-09-19,USD,GBP,0.758003
2022-09-20,EUR,GBP,0.801393
2022-09-20,USD,GBP,0.754046
2022-09-21,EUR,GBP,0.800647
2022-09-21,USD,GBP,0.754208
2022-09-22,EUR,GBP,0.803164
2022-09-22,USD,GBP,0.756554
2022-09-23,EUR,GBP,0.803515
2022-09-23,USD,GBP,0.756036
2022-09-26,EUR,GBP,0.811423
2022-09-26,USD,GBP,0.75089
2022-09-27,EUR,GBP,0.818538
2022-09-27,USD,GBP,0.751063
2022-09-28,EUR,GBP,0.817523
2022-09-28,USD,GBP,0.749036
2022-09-29,EUR,GBP,0.820728
2022-09-29,USD,GBP,0.747153
2022-09-30,USD,GBP,0.750543
2022-10-03,USD,GBP,0.749519
2022-10-04,EUR,GBP,0.826647
2022-10-04,USD,GBP,0.750692
2022-10-05,EUR,GBP,0.827456
2022-10-05,USD,GBP,0.750611
2022-10-06,EUR,GBP,0.828987
2022-10-06,USD,GBP,0.751347
2022-10-07,EUR,GBP,0.830448
2022-10-07,USD,GBP,0.755909
2022-10-10,EUR,GBP,0.830411
2022-10-10,USD,GBP,0.755723
2022-10-11,EUR,GBP,0.830667
2022-10-11,USD,GBP,0.75468
2022-10-12,EUR,GBP,0.83148
2022-10-12,USD,GBP,0.754452
2022-10-13,EUR,GBP,0.834837
2022-10-13,USD,GBP,0.753524
2022-10-14,EUR,GBP,0.836662
2022-10-17,EUR,GBP,0.837853
2022-10-17,USD,GBP,0.757691
2022-10-18,EUR,GBP,0.837379
2022-10-18,USD,GBP,0.762004
2022-10-19,EUR,GBP,0.834981
2022-10-19,USD,GBP,0.766119
2022-10-20,EUR,GBP,0.834011
2022-10-20,USD,GBP,0.767099
2022-10-21,EUR,GBP,0.830719
2022-10-21,USD,GBP,0.766853
2022-10-24,EUR,GBP,0.835254
2022-10-24,USD,GBP,0.774663
2022-10-25,EUR,GBP,0.839406
2022-10-25,USD,GBP,0.772083
2022-10-26,EUR,GBP,0.842369
2022-10-26,USD,GBP,0.77338
2022-10-27,EUR,GBP,0.833716
2022-10-27,USD,GBP,0.772577
2022-10-28,EUR,GBP,0.833437
2022-10-28,USD,GBP,0.771889
2022-10-31,EUR,GBP,0.83919
2022-10-31,USD,GBP,0.774916
2022-11-01,EUR,GBP,0.84278
2022-11-01,USD,GBP,0.772213
2022-11-02,EUR,GBP,0.836427
2022-11-02,USD,GBP,0.775996
2022-11-03,EUR,GBP,0.833814
2022-11-03,USD,GBP,0.77976
2022-11-04,EUR,GBP,0.8397
2022-11-04,USD,GBP,0.779528
2022-11-07,EUR,GBP,0.840646
2022-11-07,USD,GBP,0.778223
2022-11-08,EUR,GBP,0.837118
2022-11-08,USD,GBP,0.779175
2022-11-09,EUR,GBP,0.837273
2022-11-09,USD,GBP,0.781472
2022-11-10,EUR,GBP,0.836668
2022-11-10,USD,GBP,0.784533
2022-11-11,EUR,GBP,0.830832
2022-11-11,USD,GBP,0.78705
2022-11-14,EUR,GBP,0.827804
2022-11-14,USD,GBP,0.782283
2022-11-15,EUR,GBP,0.82664
2022-11-15,USD,GBP,0.784428
2022-11-16,EUR,GBP,0.827325
2022-11-16,USD,GBP,0.782824
2022-11-17,EUR,GBP,0.829148
2022-11-17,USD,GBP,0.786501
2022-11-18,EUR,GBP,0.830283
2022-11-18,USD,GBP,0.790294
2022-11-21,EUR,GBP,0.831411
2022-11-21,USD,GBP,0.791523
2022-11-22,EUR,GBP,0.834652
2022-11-22,USD,GBP,0.794873
2022-11-23,EUR,GBP,0.833991
2022-11-23,USD,GBP,0.798807
2022-11-24,EUR,GBP,0.835259
2022-11-24,USD,GBP,0.798894
2022-11-25,EUR,GBP,0.834888
2022-11-25,USD,GBP,0.798986
2022-11-28,EUR,GBP,0.830619
2022-11-28,USD,GBP,0.80625
2022-11-29,EUR,GBP,0.832736
2022-11-29,USD,GBP,0.805633
2022-11-30,EUR,GBP,0.838657
2022-11-30,USD,GBP,0.8105
2022-12-01,EUR,GBP,0.839055
2022-12-01,USD,GBP,0.806611
2022-12-02,EUR,GBP,0.838444
2022-12-02,USD,GBP,0.804117
2022-12-05,USD,GBP,0.808516
2022-12-06,EUR,GBP,0.839461
2022-12-06,USD,GBP,0.807371
2022-12-07,EUR,GBP,0.839104
2022-12-07,USD,GBP,0.808083
2022-12-08,EUR,GBP,0.838234
2022-12-08,USD,GBP,0.801886
2022-12-09,EUR,GBP,0.840775
2022-12-09,USD,GBP,0.80264
2022-12-12,EUR,GBP,0.826224
2022-12-12,USD,GBP,0.805537
2022-12-13,EUR,GBP,0.81942
2022-12-13,USD,GBP,0.809425
2022-12-14,EUR,GBP,0.82052
2022-12-14,USD,GBP,0.808369
2022-12-15,EUR,GBP,0.82731
2022-12-15,USD,GBP,0.813993
2022-12-16,EUR,GBP,0.827723
2022-12-16,USD,GBP,0.811246
2022-12-19,EUR,GBP,0.820508
2022-12-19,USD,GBP,0.802074
2022-12-20,EUR,GBP,0.823647
2022-12-20,USD,GBP,0.803393
2022-12-21,EUR,GBP,0.823185
2022-12-21,USD,GBP,0.803569
2022-12-22,EUR,GBP,0.818406
2022-12-22,USD,GBP,0.800104
2022-12-23,EUR,GBP,0.823225
2022-12-23,USD,GBP,0.800356
2022-12-26,EUR,GBP,0.827183
2022-12-26,USD,GBP,0.790177
2022-12-27,EUR,GBP,0.831009
2022-12-27,USD,GBP,0.791983
2022-12-28,EUR,GBP,0.833311
2022-12-28,USD,GBP,0.789809
2022-12-29,EUR,GBP,0.829622
2022-12-29,USD,GBP,0.788127
2022-12-30,EUR,GBP,0.830746
2022-12-30,USD,GBP,0.789469
2023-01-02,EUR,GBP,0.824771
2023-01-02,USD,GBP,0.785328
2023-01-03,EUR,GBP,0.825355
2023-01-03,USD,GBP,0.783922
2023-01-04,EUR,GBP,0.829008
2023-01-05,EUR,GBP,0.832928
2023-01-05,USD,GBP,0.775406
2023-01-06,EUR,GBP,0.834593
2023-01-06,USD,GBP,0.77661
2023-01-09,EUR,GBP,0.836639
2023-01-09,USD,GBP,0.779781
2023-01-10,EUR,GBP,0.83992
2023-01-10,USD,GBP,0.776076
2023-01-11,EUR,GBP,0.837835
2023-01-11,USD,GBP,0.777292
2023-01-12,EUR,GBP,0.841304
2023-01-12,USD,GBP,0.773619
2023-01-13,EUR,GBP,0.842308
2023-01-13,USD,GBP,0.770035
2023-01-16,EUR,GBP,0.84367
2023-01-16,USD,GBP,0.771755
2023-01-17,EUR,GBP,0.840513
2023-01-17,USD,GBP,0.773017
2023-01-18,EUR,GBP,0.846775
2023-01-18,USD,GBP,0.771259
2023-01-19,EUR,GBP,0.844316
2023-01-19,USD,GBP,0.770219
2023-01-20,EUR,GBP,0.844536
2023-01-20,USD,GBP,0.766707
2023-01-23,EUR,GBP,0.842361
2023-01-23,USD,GBP,0.768998
2023-01-24,EUR,GBP,0.846129
2023-01-24,USD,GBP,0.770483
2023-01-25,EUR,GBP,0.850108
2023-01-25,USD,GBP,0.769347
2023-01-26,EUR,GBP,0.852109
2023-01-26,USD,GBP,0.771666
2023-01-27,EUR,GBP,0.850117
2023-01-27,USD,GBP,0.771035
2023-01-30,EUR,GBP,0.852499
2023-01-30,USD,GBP,0.777304
2023-01-31,EUR,GBP,0.852746
2023-01-31,USD,GBP,0.76962
2023-02-01,EUR,GBP,0.854888
2023-02-01,USD,GBP,0.766527
2023-02-02,EUR,GBP,0.853353
2023-02-02,USD,GBP,0.76755
2023-02-03,EUR,GBP,0.853099
2023-02-03,USD,GBP,0.76986
2023-02-06,EUR,GBP,0.856923
2023-02-06,USD,GBP,0.76869
2023-02-07,EUR,GBP,0.85403
2023-02-07,USD,GBP,0.766385
2023-02-08,EUR,GBP,0.854126
2023-02-08,USD,GBP,0.762787
2023-02-09,EUR,GBP,0.852264
2023-02-09,USD,GBP,0.756631
2023-02-10,EUR,GBP,0.855351
2023-02-10,USD,GBP,0.754332
2023-02-13,EUR,GBP,0.854899
2023-02-13,USD,GBP,0.749633
2023-02-14,EUR,GBP,0.862152
2023-02-14,USD,GBP,0.746952
2023-02-15,EUR,GBP,0.864003
2023-02-15,USD,GBP,0.742339
2023-02-16,EUR,GBP,0.864731
2023-02-16,USD,GBP,0.739096
2023-02-17,EUR,GBP,0.866741
2023-02-17,USD,GBP,0.738385
2023-02-20,EUR,GBP,0.866794
2023-02-20,USD,GBP,0.738563
2023-02-21,EUR,GBP,0.866452
2023-02-21,USD,GBP,0.737822
2023-02-22,EUR,GBP,0.867415
2023-02-22,USD,GBP,0.742515
2023-02-23,EUR,GBP,0.864085
2023-02-23,USD,GBP,0.743153
2023-02-24,EUR,GBP,0.861915
2023-02-24,USD,GBP,0.741141
2023-02-27,EUR,GBP,0.871546
2023-02-27,USD,GBP,0.73774
2023-02-28,EUR,GBP,0.870436
2023-02-28,USD,GBP,0.735951
2023-03-01,EUR,GBP,0.872128
2023-03-01,USD,GBP,0.738508
2023-03-02,EUR,GBP,0.872033
2023-03-02,USD,GBP,0.741626
2023-03-03,EUR,GBP,0.872897
2023-03-03,USD,GBP,0.743229
2023-03-06,EUR,GBP,0.869027
2023-03-06,USD,GBP,0.746459
2023-03-07,EUR,GBP,0.868314
2023-03-07,USD,GBP,0.750784
2023-03-08,EUR,GBP,0.873064
2023-03-08,USD,GBP,0.746894
2023-03-09,EUR,GBP,0.870881
2023-03-09,USD,GBP,0.748129
2023-03-10,EUR,GBP,0.876347
2023-03-10,USD,GBP,0.753328
2023-03-13,EUR,GBP,0.880167
2023-03-13,USD,GBP,0.751773
2023-03-14,EUR,GBP,0.874418
2023-03-14,USD,GBP,0.751475
2023-03-15,EUR,GBP,0.873303
2023-03-15,USD,GBP,0.755055
2023-03-16,EUR,GBP,0.87547
2023-03-16,USD,GBP,0.754773
2023-03-17,EUR,GBP,0.879172
2023-03-17,USD,GBP,0.757062
2023-03-20,EUR,GBP,0.883747
2023-03-20,USD,GBP,0.757735
2023-03-21,EUR,GBP,0.882863
2023-03-21,USD,GBP,0.756062
2023-03-22,EUR,GBP,0.884996
2023-03-22,USD,GBP,0.756519
2023-03-23,EUR,GBP,0.884314
2023-03-23,USD,GBP,0.758164
2023-03-24,EUR,GBP,0.884089
2023-03-24,USD,GBP,0.758184
2023-03-27,EUR,GBP,0.886272
2023-03-27,USD,GBP,0.751378
2023-03-28,EUR,GBP,0.884394
2023-03-28,USD,GBP,0.751457
2023-03-29,EUR,GBP,0.886291
2023-03-29,USD,GBP,0.748422
2023-03-30,EUR,GBP,0.893639
2023-03-30,USD,GBP,0.746188
2023-03-31,EUR,GBP,0.889556
2023-03-31,USD,GBP,0.747225
2023-04-03,EUR,GBP,0.893814
2023-04-03,USD,GBP,0.751732
2023-04-04,EUR,GBP,0.890287
2023-04-04,USD,GBP,0.754876
2023-04-05,EUR,GBP,0.896377
2023-04-05,USD,GBP,0.756696
2023-04-06,EUR,GBP,0.902343
2023-04-06,USD,GBP,0.761641
2023-04-07,EUR,GBP,0.898416
2023-04-07,USD,GBP,0.761634
2023-04-10,EUR,GBP,0.899066
2023-04-10,USD,GBP,0.757383
2023-04-11,USD,GBP,0.756024
2023-04-12,EUR,GBP,0.900225
2023-04-12,USD,GBP,0.753769
2023-04-13,EUR,GBP,0.902108
2023-04-13,USD,GBP,0.751421
2023-04-14,EUR,GBP,0.897234
2023-04-14,USD,GBP,0.750763
2023-04-17,EUR,GBP,0.895608
2023-04-17,USD,GBP,0.75267
2023-04-18,EUR,GBP,0.898182
2023-04-18,USD,GBP,0.753382
2023-04-19,EUR,GBP,0.895376
2023-04-19,USD,GBP,0.75375
2023-04-20,EUR,GBP,0.897453
2023-04-20,USD,GBP,0.756385
2023-04-21,EUR,GBP,0.90474
2023-04-21,USD,GBP,0.755677
2023-04-24,USD,GBP,0.756416
2023-04-25,EUR,GBP,0.903425
2023-04-25,USD,GBP,0.756319
2023-04-26,EUR,GBP,0.901307
2023-04-26,USD,GBP,0.760541
2023-04-27,EUR,GBP,0.903847
2023-04-27,USD,GBP,0.759022
2023-04-28,EUR,GBP,0.905181
2023-04-28,USD,GBP,0.757775
2023-05-01,EUR,GBP,0.910879
2023-05-01,USD,GBP,0.752103
2023-05-02,EUR,GBP,0.912381
2023-05-02,USD,GBP,0.749395
2023-05-03,EUR,GBP,0.912833
2023-05-03,USD,GBP,0.755411
2023-05-04,EUR,GBP,0.9079
2023-05-04,USD,GBP,0.751388
2023-05-05,EUR,GBP,0.90675
2023-05-05,USD,GBP,0.749539
2023-05-08,EUR,GBP,0.91313
2023-05-08,USD,GBP,0.749958
2023-05-09,EUR,GBP,0.905037
2023-05-09,USD,GBP,0.750405
2023-05-10,EUR,GBP,0.904331
2023-05-10,USD,GBP,0.75051
2023-05-11,USD,GBP,0.752601
2023-05-12,EUR,GBP,0.904902
2023-05-12,USD,GBP,0.753052
2023-05-15,EUR,GBP,0.901294
2023-05-15,USD,GBP,0.751676
2023-05-16,EUR,GBP,0.893471
2023-05-16,USD,GBP,0.754788
2023-05-17,EUR,GBP,0.894107
2023-05-17,USD,GBP,0.757201
2023-05-18,EUR,GBP,0.896352
2023-05-18,USD,GBP,0.758645
2023-05-19,EUR,GBP,0.893289
2023-05-19,USD,GBP,0.757848
2023-05-22,EUR,GBP,0.896861
2023-05-22,USD,GBP,0.758201
2023-05-23,EUR,GBP,0.89669
2023-05-23,USD,GBP,0.759227
2023-05-24,EUR,GBP,0.892807
2023-05-24,USD,GBP,0.758622
