invoice_id,invoice_type,customer_id,supplier_id,invoice_date,due_date,currency,net_amount,tax_amount,gross_amount,gross_amount_gbp,cost_centre_code,status
SI-2022-00105,SALES,C2050,,17-Mar-2022,2022-04-16,USD,3208.03,0.0,3208.03,2489.74,CC220,Paid
SI-2022-00106,SALES,C2019,,2022-03-28,2022-06-26,EUR,7203.24,0.0,7203.24,6068.55,CC220,paid
SI-2022-00107,SALES,C2052,,25/03/2022,2022-04-24,EUR,7675.73,0.0,7675.73,6465.55,CC220,PAID 
SI-2022-00108,SALES,C2055,,18-Mar-2022,2022-06-16,GBP,16799.42,3359.88,20159.3,20159.3,CC200,PAID
SI-2022-00109,SALES,C2054,,2022-03-17,2022-04-16,GBP,28534.06,5706.81,34240.87,34240.87,CC210,Paid
SI-2022-00110,SALES,C2011,,01/03/2022,2022-03-15,GBP,5476.55,1095.31,6571.86,6571.86,CC200,paid
SI-2022-00111,SALES,C2046,,25-Mar-2022,2022-05-24,GBP,3606.32,721.26,4327.58,4327.58,CC200,PAID 
SI-2022-00112,SALES,C2045,,2022-03-28,2022-05-12,GBP,9011.0,1802.2,10813.2,10813.2,CC200,PAID
SI-2022-00113,SALES,C2017,,29/03/2022,2022-05-13,EUR,30885.59,0.0,30885.59,25883.73,CC220,Paid
SI-2022-00114,SALES,C2040,,10-Mar-2022,2022-04-09,GBP,2139.7,427.94,2567.64,2567.64,CC200,paid
SI-2022-00115,SALES,C2055,,2022-03-18,2022-06-16,GBP,11183.8,2236.76,13420.56,13420.56,CC200,PAID 
SI-2022-00116,SALES,C2015,,04/03/2022,2022-05-03,GBP,36169.7,7233.94,43403.64,43403.64,CC210,PAID
SI-2022-00117,SALES,C2001,,25-Mar-2022,2022-04-24,USD,2558.44,0.0,2558.44,2037.71,CC220,Paid
SI-2022-00118,SALES,C2000,,2022-03-30,2022-05-14,GBP,9123.19,1824.64,10947.83,10947.83,CC200,paid
SI-2022-00119,SALES,C2012,,31/03/2022,2022-05-30,EUR,6709.89,0.0,6709.89,5645.96,CC220,PAID 
SI-2022-00120,SALES,C2054,,07-Mar-2022,2022-04-06,GBP,18396.39,3679.28,22075.67,22075.67,CC210,PAID
SI-2022-00121,SALES,C2053,,2022-03-21,2022-04-20,GBP,14188.06,2837.61,17025.67,17025.67,CC200,Paid
SI-2022-00122,SALES,C2029,,07/03/2022,2022-06-05,EUR,13742.79,0.0,13742.79,11492.17,CC220,paid
SI-2022-00123,SALES,C2005,,16-Mar-2022,2022-04-15,EUR,13141.3,0.0,13141.3,10995.47,CC220,PAID 
SI-2022-00124,SALES,C2011,,2022-03-18,2022-04-01,GBP,3973.19,794.64,4767.83,4767.83,CC200,PAID
SI-2022-00125,SALES,C2040,,04/03/2022,2022-04-03,GBP,7943.12,1588.62,9531.74,9531.74,CC200,Paid
SI-2022-00126,SALES,C2030,,11-Mar-2022,2022-04-10,GBP,2219.77,443.95,2663.72,2663.72,CC200,paid
SI-2022-00127,SALES,C2034,,2022-03-11,2022-03-25,EUR,9414.65,0.0,9414.65,7845.72,CC220,PAID 
SI-2022-00128,SALES,C2052,,24/03/2022,2022-04-23,EUR,35029.07,0.0,35029.07,29425.82,CC220,PAID
SI-2022-00129,SALES,C2026,,25-Mar-2022,2022-04-24,GBP,2540.81,508.16,3048.97,3048.97,CC210,Paid
SI-2022-00130,SALES,C2032,,2022-03-31,2022-04-30,GBP,14570.48,2914.1,17484.58,17484.58,CC200,paid
SI-2022-00131,SALES,C2018,,15/03/2022,2022-04-29,EUR,6420.77,0.0,6420.77,5379.12,CC220,PAID 
SI-2022-00132,SALES,C2056,,14-Mar-2022,2022-06-12,GBP,13933.65,2786.73,16720.38,16720.38,CC210,PAID
SI-2022-00133,SALES,C2029,,2022-03-25,2022-06-23,EUR,7164.69,0.0,7164.69,6035.08,CC220,Paid
SI-2022-00134,SALES,C2041,,23/03/2022,2022-04-22,GBP,7125.06,1425.01,8550.07,8550.07,CC210,paid
SI-2022-00135,SALES,C2028,,11-Mar-2022,2022-03-25,GBP,6239.54,1247.91,7487.45,7487.45,CC200,PAID 
SI-2022-00136,SALES,C2058,,2022-03-28,2022-06-26,EUR,15973.35,0.0,15973.35,13457.15,CC220,PAID
SI-2022-00137,SALES,C2004,,11/03/2022,2022-04-25,GBP,3239.22,647.84,3887.06,3887.06,CC210,Paid
SI-2022-00138,SALES,C2053,,30-Mar-2022,2022-04-29,GBP,10771.71,2154.34,12926.05,12926.05,CC200,paid
SI-2022-00139,SALES,C2045,,2022-03-14,2022-04-28,GBP,4399.69,879.94,5279.63,5279.63,CC200,PAID 
SI-2022-00140,SALES,C2009,,23/03/2022,2022-06-21,GBP,2505.14,501.03,3006.17,3006.17,CC200,PAID
SI-2022-00141,SALES,C2050,,15-Mar-2022,2022-04-14,USD,17981.71,0.0,17981.71,13991.73,CC220,Paid
SI-2022-00142,SALES,C2050,,2022-03-21,2022-04-20,USD,6627.7,0.0,6627.7,5183.63,CC220,paid
PI-2022-00070,PURCHASE,,S3030,22/03/2022,2022-04-21,GBP,29772.76,5954.55,35727.31,35727.31,CC300,PAID 
PI-2022-00071,PURCHASE,,S3003,04-Mar-2022,2022-04-03,EUR,12374.92,0.0,12374.92,10352.88,CC300,PAID
PI-2022-00072,PURCHASE,,S3038,2022-03-23,2022-04-22,GBP,24935.91,4987.18,29923.09,29923.09,CC400,Paid
