gl_id,journal_id,line_number,account_code,cost_centre_code,entry_date,line_description,debit,credit
73,JE-2022-00028,1,1200,CC220,2022-01-20,Sales invoice SI-2022-00028,6176.85,0.0
74,JE-2022-00028,2,4020,CC220,2022-01-20,Sales invoice SI-2022-00028,0.0,6176.85
75,JE-2022-00029,1,1200,CC200,2022-01-21,Sales invoice SI-2022-00029,11993.14,0.0
76,JE-2022-00029,2,4000,CC200,2022-01-21,Sales invoice SI-2022-00029,0.0,9994.28
77,JE-2022-00029,3,2100,CC200,2022-01-21,Output VAT SI-2022-00029,0.0,1998.86
78,JE-2022-00030,1,1200,CC200,2022-01-04,Sales invoice SI-2022-00030,4998.12,0.0
79,JE-2022-00030,2,4000,CC200,2022-01-04,Sales invoice SI-2022-00030,0.0,4165.1
80,JE-2022-00030,3,2100,CC200,2022-01-04,Output VAT SI-2022-00030,0.0,833.02
81,JE-2022-00031,1,1200,CC200,2022-01-12,Sales invoice SI-2022-00031,16113.11,0.0
82,JE-2022-00031,2,4030,CC200,2022-01-12,Sales invoice SI-2022-00031,0.0,13427.59
83,JE-2022-00031,3,2100,CC200,2022-01-12,Output VAT SI-2022-00031,0.0,2685.52
84,JE-2022-00032,1,1200,CC210,2022-01-07,Sales invoice SI-2022-00032,28476.79,0.0
85,JE-2022-00032,2,4000,CC210,2022-01-07,Sales invoice SI-2022-00032,0.0,23730.66
86,JE-2022-00032,3,2100,CC210,2022-01-07,Output VAT SI-2022-00032,0.0,4746.13
87,JE-2022-00033,1,1200,CC210,2022-01-17,Sales invoice SI-2022-00033,14009.86,0.0
88,JE-2022-00033,2,4000,CC210,2022-01-17,Sales invoice SI-2022-00033,0.0,11674.88
89,JE-2022-00033,3,2100,CC210,2022-01-17,Output VAT SI-2022-00033,0.0,2334.98
90,JE-2022-00034,1,1200,CC200,2022-01-14,Sales invoice SI-2022-00034,5239.88,0.0
91,JE-2022-00034,2,4000,CC200,2022-01-14,Sales invoice SI-2022-00034,0.0,4366.57
92,JE-2022-00034,3,2100,CC200,2022-01-14,Output VAT SI-2022-00034,0.0,873.31
93,JE-2022-00035,1,1200,CC200,2022-01-07,Sales invoice SI-2022-00035,42276.38,0.0
94,JE-2022-00035,2,4030,CC200,2022-01-07,Sales invoice SI-2022-00035,0.0,35230.32
95,JE-2022-00035,3,2100,CC200,2022-01-07,Output VAT SI-2022-00035,0.0,7046.06
96,JE-2022-00036,1,1200,CC220,2022-01-18,Sales invoice SI-2022-00036,8318.67,0.0
97,JE-2022-00036,2,4010,CC220,2022-01-18,Sales invoice SI-2022-00036,0.0,8318.67
98,JE-2022-00037,1,1200,CC200,2022-01-31,Sales invoice SI-2022-00037,15728.12,0.0
99,JE-2022-00037,2,4000,CC200,2022-01-31,Sales invoice SI-2022-00037,0.0,13106.77
100,JE-2022-00037,3,2100,CC200,2022-01-31,Output VAT SI-2022-00037,0.0,2621.35
101,JE-2022-00038,1,1200,CC220,2022-01-14,Sales invoice SI-2022-00038,4434.33,0.0
102,JE-2022-00038,2,4020,CC220,2022-01-14,Sales invoice SI-2022-00038,0.0,4434.33
103,JE-2022-00039,1,1200,CC220,2022-01-28,Sales invoice SI-2022-00039,2877.04,0.0
104,JE-2022-00039,2,4010,CC220,2022-01-28,Sales invoice SI-2022-00039,0.0,2877.04
105,JE-2022-00040,1,1200,CC220,2022-01-12,Sales invoice SI-2022-00040,9394.38,0.0
106,JE-2022-00040,2,4020,CC220,2022-01-12,Sales invoice SI-2022-00040,0.0,9394.38
107,JE-2022-00041,1,1200,CC220,2022-01-19,Sales invoice SI-2022-00041,9818.98,0.0
108,JE-2022-00041,2,4010,CC220,2022-01-19,Sales invoice SI-2022-00041,0.0,9818.98
109,JE-2022-00042,1,1200,CC210,2022-01-21,Sales invoice SI-2022-00042,5692.03,0.0
110,JE-2022-00042,2,4030,CC210,2022-01-21,Sales invoice SI-2022-00042,0.0,4743.36
111,JE-2022-00042,3,2100,CC210,2022-01-21,Output VAT SI-2022-00042,0.0,948.67
112,JE-2022-00043,1,1200,CC200,2022-01-04,Sales invoice SI-2022-00043,4828.82,0.0
113,JE-2022-00043,2,4000,CC200,2022-01-04,Sales invoice SI-2022-00043,0.0,4024.02
114,JE-2022-00043,3,2100,CC200,2022-01-04,Output VAT SI-2022-00043,0.0,804.8
115,JE-2022-00044,1,1200,CC220,2022-01-14,Sales invoice SI-2022-00044,5453.55,0.0
116,JE-2022-00044,2,4010,CC220,2022-01-14,Sales invoice SI-2022-00044,0.0,5453.55
117,JE-2022-00045,1,6110,CC100,2022-01-24,Purchase invoice PI-2022-00001,1480.33,0.0
118,JE-2022-00045,2,2100,CC100,2022-01-24,Input VAT PI-2022-00001,296.07,0.0
119,JE-2022-00045,3,2000,CC100,2022-01-24,Purchase invoice PI-2022-00001,0.0,1776.4
120,JE-2022-00046,1,6310,CC600,2022-01-03,Purchase invoice PI-2022-00002,549.5,0.0
121,JE-2022-00046,2,2000,CC600,2022-01-03,Purchase invoice PI-2022-00002,0.0,549.5
122,JE-2022-00047,1,6210,CC220,2022-01-28,Purchase invoice PI-2022-00003,2643.98,0.0
123,JE-2022-00047,2,2000,CC220,2022-01-28,Purchase invoice PI-2022-00003,0.0,2643.98
124,JE-2022-00048,1,6300,CC600,2022-01-03,Purchase invoice PI-2022-00004,2000.54,0.0
125,JE-2022-00048,2,2000,CC600,2022-01-03,Purchase invoice PI-2022-00004,0.0,2000.54
126,JE-2022-00049,1,6320,CC500,2022-01-27,Purchase invoice PI-2022-00005,1682.25,0.0
127,JE-2022-00049,2,2100,CC500,2022-01-27,Input VAT PI-2022-00005,336.45,0.0
128,JE-2022-00049,3,2000,CC500,2022-01-27,Purchase invoice PI-2022-00005,0.0,2018.7
129,JE-2022-00050,1,5010,CC300,2022-01-24,Purchase invoice PI-2022-00006,625.03,0.0
130,JE-2022-00050,2,2000,CC300,2022-01-24,Purchase invoice PI-2022-00006,0.0,625.03
131,JE-2022-00051,1,5000,CC300,2022-01-21,Purchase invoice PI-2022-00007,11959.36,0.0
132,JE-2022-00051,2,2100,CC300,2022-01-21,Input VAT PI-2022-00007,2391.87,0.0
133,JE-2022-00051,3,2000,CC300,2022-01-21,Purchase invoice PI-2022-00007,0.0,14351.23
134,JE-2022-00052,1,6310,CC600,2022-01-24,Purchase invoice PI-2022-00008,1150.72,0.0
135,JE-2022-00052,2,2000,CC600,2022-01-24,Purchase invoice PI-2022-00008,0.0,1150.72
136,JE-2022-00053,1,6100,CC100,2022-01-04,Purchase invoice PI-2022-00009,1927.77,0.0
137,JE-2022-00053,2,2000,CC100,2022-01-04,Purchase invoice PI-2022-00009,0.0,1927.77
138,JE-2022-00054,1,6040,CC100,2022-01-06,Purchase invoice PI-2022-00010,4174.96,0.0
139,JE-2022-00054,2,2100,CC100,2022-01-06,Input VAT PI-2022-00010,834.99,0.0
140,JE-2022-00054,3,2000,CC100,2022-01-06,Purchase invoice PI-2022-00010,0.0,5009.95
141,JE-2022-00055,1,5000,CC400,2022-01-21,Purchase invoice PI-2022-00011,31375.34,0.0
142,JE-2022-00055,2,2000,CC400,2022-01-21,Purchase invoice PI-2022-00011,0.0,31375.34
143,JE-2022-00056,1,5010,CC300,2022-01-06,Purchase invoice PI-2022-00012,3103.73,0.0
144,JE-2022-00056,2,2000,CC300,2022-01-06,Purchase invoice PI-2022-00012,0.0,3103.73
145,JE-2022-00057,1,5020,CC400,2022-01-28,Purchase invoice PI-2022-00013,680.25,0.0
146,JE-2022-00057,2,2100,CC400,2022-01-28,Input VAT PI-2022-00013,136.05,0.0
147,JE-2022-00057,3,2000,CC400,2022-01-28,Purchase invoice PI-2022-00013,0.0,816.3
148,JE-2022-00058,1,5000,CC400,2022-01-07,Purchase invoice PI-2022-00014,8527.57,0.0
149,JE-2022-00058,2,2100,CC400,2022-01-07,Input VAT PI-2022-00014,1705.51,0.0
150,JE-2022-00058,3,2000,CC400,2022-01-07,Purchase invoice PI-2022-00014,0.0,10233.08
151,JE-2022-00059,1,6310,CC600,2022-01-31,Purchase invoice PI-2022-00015,1736.26,0.0
152,JE-2022-00059,2,2100,CC600,2022-01-31,Input VAT PI-2022-00015,347.25,0.0
153,JE-2022-00059,3,2000,CC600,2022-01-31,Purchase invoice PI-2022-00015,0.0,2083.51
154,JE-2022-00060,1,6130,CC100,2022-01-14,Purchase invoice PI-2022-00016,2195.54,0.0
155,JE-2022-00060,2,2000,CC100,2022-01-14,Purchase invoice PI-2022-00016,0.0,2195.54
156,JE-2022-00061,1,6310,CC600,2022-01-31,Purchase invoice PI-2022-00017,532.65,0.0
157,JE-2022-00061,2,2000,CC600,2022-01-31,Purchase invoice PI-2022-00017,0.0,532.65
158,JE-2022-00062,1,5000,CC400,2022-01-07,Purchase invoice PI-2022-00018,16500.0,0.0
159,JE-2022-00062,2,2100,CC400,2022-01-07,Input VAT PI-2022-00018,3300.0,0.0
160,JE-2022-00062,3,2000,CC400,2022-01-07,Purchase invoice PI-2022-00018,0.0,19800.0
161,JE-2022-00063,1,5000,CC400,2022-01-12,Purchase invoice PI-2022-00019,10133.97,0.0
162,JE-2022-00063,2,2100,CC400,2022-01-12,Input VAT PI-2022-00019,2026.79,0.0
163,JE-2022-00063,3,2000,CC400,2022-01-12,Purchase invoice PI-2022-00019,0.0,12160.76
164,JE-2022-00064,1,5000,CC400,2022-01-18,Purchase invoice PI-2022-00020,29391.49,0.0
165,JE-2022-00064,2,2000,CC400,2022-01-18,Purchase invoice PI-2022-00020,0.0,29391.49
166,JE-2022-00065,1,5000,CC300,2022-01-04,Purchase invoice PI-2022-00021,8991.32,0.0
167,JE-2022-00065,2,2000,CC300,2022-01-04,Purchase invoice PI-2022-00021,0.0,8991.32
168,JE-2022-00066,1,5000,CC400,2022-01-25,Purchase invoice PI-2022-00022,21343.65,0.0
169,JE-2022-00066,2,2000,CC400,2022-01-25,Purchase invoice PI-2022-00022,0.0,21343.65
170,JE-2022-00067,1,6140,CC400,2022-01-31,Purchase invoice PI-2022-00023,1838.19,0.0
171,JE-2022-00067,2,2000,CC400,2022-01-31,Purchase invoice PI-2022-00023,0.0,1838.19
172,JE-2022-00068,1,6040,CC100,2022-01-18,Purchase invoice PI-2022-00024,1438.14,0.0
173,JE-2022-00068,2,2100,CC100,2022-01-18,Input VAT PI-2022-00024,287.63,0.0
174,JE-2022-00068,3,2000,CC100,2022-01-18,Purchase invoice PI-2022-00024,0.0,1725.77
175,JE-2022-00069,1,6140,CC400,2022-01-21,Purchase invoice PI-2022-00025,1842.68,0.0
176,JE-2022-00069,2,2000,CC400,2022-01-21,Purchase invoice PI-2022-00025,0.0,1842.68
177,JE-2022-00070,1,6130,CC100,2022-01-03,Purchase invoice PI-2022-00026,717.03,0.0
178,JE-2022-00070,2,2000,CC100,2022-01-03,Purchase invoice PI-2022-00026,0.0,717.03
179,JE-2022-00071,1,5000,,2022-01-28,Purchase invoice PI-2022-00027,6565.02,0.0
180,JE-2022-00071,2,2000,CC400,2022-01-28,Purchase invoice PI-2022-00027,0.0,6565.02
181,JE-2022-00072,1,5000,CC400,2022-01-28,Purchase invoice PI-2022-00028,4212.31,0.0
182,JE-2022-00072,2,2100,CC400,2022-01-28,Input VAT PI-2022-00028,842.46,0.0
183,JE-2022-00072,3,2000,CC400,2022-01-28,Purchase invoice PI-2022-00028,0.0,5054.77
184,JE-2022-00073,1,5000,CC400,2022-01-12,Purchase invoice PI-2022-00029,9032.12,0.0
185,JE-2022-00073,2,2000,CC400,2022-01-12,Purchase invoice PI-2022-00029,0.0,9032.12
186,JE-2022-00074,1,5000,CC300,2022-01-05,Purchase invoice PI-2022-00030,25034.77,0.0
187,JE-2022-00074,2,2100,CC300,2022-01-05,Input VAT PI-2022-00030,5006.95,0.0
188,JE-2022-00074,3,2000,CC300,2022-01-05,Purchase invoice PI-2022-00030,0.0,30041.72
189,JE-2022-00075,1,5000,CC300,2022-01-14,Purchase invoice PI-2022-00031,4996.65,0.0
190,JE-2022-00075,2,2000,CC300,2022-01-14,Purchase invoice PI-2022-00031,0.0,4996.65
191,JE-2022-00076,1,6140,CC400,2022-01-14,Purchase invoice PI-2022-00032,1937.03,0.0
192,JE-2022-00076,2,2100,CC400,2022-01-14,Input VAT PI-2022-00032,387.41,0.0
193,JE-2022-00076,3,2000,CC400,2022-01-14,Purchase invoice PI-2022-00032,0.0,2324.44
194,JE-2022-00077,1,5000,CC400,2022-01-18,Purchase invoice PI-2022-00033,4704.0,0.0
195,JE-2022-00077,2,2100,CC400,2022-01-18,Input VAT PI-2022-00033,940.8,0.0
196,JE-2022-00077,3,2000,CC400,2022-01-18,Purchase invoice PI-2022-00033,0.0,5644.8
197,JE-2022-00078,1,6400,CC210,2022-01-11,Purchase invoice PI-2022-00034,758.49,0.0
198,JE-2022-00078,2,2000,CC210,2022-01-11,Purchase invoice PI-2022-00034,0.0,758.49
199,JE-2022-00079,1,5000,CC400,2022-01-04,Purchase invoice PI-2022-00035,7669.24,0.0
200,JE-2022-00079,2,2100,CC400,2022-01-04,Input VAT PI-2022-00035,1533.85,0.0
201,JE-2022-00079,3,2000,CC400,2022-01-04,Purchase invoice PI-2022-00035,0.0,9203.09
202,JE-2022-00080,1,1400,CC200,2022-01-31,Receipt SI-2022-00010,5448.13,0.0
203,JE-2022-00080,2,1200,CC200,2022-01-31,Receipt SI-2022-00010,0.0,5448.13
204,JE-2022-00081,1,1400,CC220,2022-01-25,Receipt SI-2022-00024,10047.74,0.0
205,JE-2022-00081,2,1200,CC220,2022-01-25,Receipt SI-2022-00024,0.0,10120.87
206,JE-2022-00081,3,6900,CC220,2022-01-25,FX on settlement,73.13,0.0
207,JE-2022-00082,1,1400,CC200,2022-01-18,Receipt SI-2022-00027,9047.65,0.0
208,JE-2022-00082,2,1200,CC200,2022-01-18,Receipt SI-2022-00027,0.0,9047.65
209,JE-2022-00083,1,1400,CC220,2022-01-28,Receipt SI-2022-00044,5441.09,0.0
210,JE-2022-00083,2,1200,CC220,2022-01-28,Receipt SI-2022-00044,0.0,5453.55
211,JE-2022-00083,3,6900,CC220,2022-01-28,FX on settlement,12.46,0.0
212,JE-2022-00084,1,2000,CC600,2022-01-31,Payment PI-2022-00004,2000.54,0.0
213,JE-2022-00084,2,1400,CC600,2022-01-31,Payment PI-2022-00004,0.0,2094.05
214,JE-2022-00084,3,6900,CC600,2022-01-31,FX on settlement,93.51,0.0
215,JE-2022-00085,1,2000,CC400,2022-01-19,Payment PI-2022-00014,10233.08,0.0
216,JE-2022-00085,2,1400,CC400,2022-01-19,Payment PI-2022-00014,0.0,10233.08
217,JE-2022-00086,1,2000,CC400,2022-01-28,Payment PI-2022-00029,9032.12,0.0
218,JE-2022-00086,2,1400,CC400,2022-01-28,Payment PI-2022-00029,0.0,9054.51
219,JE-2022-00086,3,6900,CC400,2022-01-28,FX on settlement,22.39,0.0
220,JE-2022-00087,1,6000,CC100,2022-01-28,Payroll - gross pay,13703.08,0.0
221,JE-2022-00087,2,6010,CC100,2022-01-28,Payroll - employer NI,1891.03,0.0
222,JE-2022-00087,3,6020,CC100,2022-01-28,Payroll - pension,548.12,0.0
223,JE-2022-00087,4,6000,CC200,2022-01-28,Payroll - gross pay,39149.08,0.0
224,JE-2022-00087,5,6010,CC200,2022-01-28,Payroll - employer NI,5402.57,0.0
225,JE-2022-00087,6,6020,CC200,2022-01-28,Payroll - pension,1565.96,0.0
226,JE-2022-00087,7,6000,CC210,2022-01-28,Payroll - gross pay,28888.42,0.0
227,JE-2022-00087,8,6010,CC210,2022-01-28,Payroll - employer NI,3986.6,0.0
228,JE-2022-00087,9,6020,CC210,2022-01-28,Payroll - pension,1155.54,0.0
229,JE-2022-00087,10,6000,CC220,2022-01-28,PAYROLL - GROSS PAY,15467.58,0.0
230,JE-2022-00087,11,6010,CC220,2022-01-28,Payroll - employer NI,2134.53,0.0
231,JE-2022-00087,12,6020,CC220,2022-01-28,Payroll - pension,618.7,0.0
232,JE-2022-00087,13,6000,CC300,2022-01-28,Payroll - gross pay,45686.0,0.0
233,JE-2022-00087,14,6010,CC300,2022-01-28,Payroll - employer NI,6304.67,0.0
234,JE-2022-00087,15,6020,CC300,2022-01-28,Payroll - pension,1827.44,0.0
235,JE-2022-00087,16,6000,CC400,2022-01-28,Payroll - gross pay,41540.25,0.0
236,JE-2022-00087,17,6010,CC400,2022-01-28,Payroll - employer NI,5732.55,0.0
237,JE-2022-00087,18,6020,CC400,2022-01-28,Payroll - pension,1661.61,0.0
238,JE-2022-00087,19,6000,CC500,2022-01-28,Payroll - gross pay,19387.0,0.0
239,JE-2022-00087,20,6010,CC500,2022-01-28,Payroll - employer NI,2675.41,0.0
240,JE-2022-00087,21,6020,CC500,2022-01-28,Payroll - pension,775.48,0.0
241,JE-2022-00087,22,6000,CC600,2022-01-28,Payroll - gross pay,20073.42,0.0
242,JE-2022-00087,23,6010,CC600,2022-01-28,Payroll - employer NI,2770.13,0.0
243,JE-2022-00087,24,6020,CC600,2022-01-28,Payroll - pension,802.94,0.0
244,JE-2022-00087,25,2110,,2022-01-28,PAYE and NI due,0.0,84632.25
245,JE-2022-00087,26,2120,,2022-01-28,Pension due,0.0,8955.79
246,JE-2022-00087,27,1400,,2022-01-28,Net pay,0.0,170160.07
247,JE-2022-00088,1,6600,CC100,2022-01-31,Monthly depreciation charge,14720.0,0.0
248,JE-2022-00088,2,1090,CC100,2022-01-31,Monthly depreciation charge,0.0,14720.0
249,JE-2022-00089,1,6520,CC500,2022-01-31,Bank charges,385.15,0.0
250,JE-2022-00089,2,7000,CC500,2022-01-31,Loan interest,99.0,0.0
251,JE-2022-00089,3,1400,CC500,2022-01-31,Bank,0.0,484.15
252,JE-2022-00090,1,2100,CC500,2022-01-07,VAT paid to HMRC,182258.85,0.0
253,JE-2022-00090,2,1400,CC500,2022-01-07,VAT paid to HMRC,0.0,182258.85
254,JE-2022-00091,1,1200,CC220,2022-02-04,Sales invoice SI-2022-00045,1860.52,0.0
255,JE-2022-00091,2,4010,CC220,2022-02-04,Sales invoice SI-2022-00045,0.0,1860.52
256,JE-2022-00092,1,1200,CC220,2022-02-07,Sales invoice SI-2022-00046,3413.92,0.0
257,JE-2022-00092,2,4020,CC220,2022-02-07,Sales invoice SI-2022-00046,0.0,3413.92
258,JE-2022-00093,1,1200,CC220,2022-02-16,Sales invoice SI-2022-00047,2266.33,0.0
259,JE-2022-00093,2,4020,CC220,2022-02-16,Sales invoice SI-2022-00047,0.0,2266.33
260,JE-2022-00094,1,1200,CC200,2022-02-24,Sales invoice SI-2022-00048,29412.35,0.0
261,JE-2022-00094,2,4000,CC200,2022-02-24,Sales invoice SI-2022-00048,0.0,24510.29
262,JE-2022-00094,3,2100,CC200,2022-02-24,Output VAT SI-2022-00048,0.0,4902.06
263,JE-2022-00095,1,1200,CC220,2022-02-11,Sales invoice SI-2022-00049,7196.51,0.0
264,JE-2022-00095,2,4010,CC220,2022-02-11,Sales invoice SI-2022-00049,0.0,7196.51
265,JE-2022-00096,1,1200,CC220,2022-02-21,Sales invoice SI-2022-00050,1980.87,0.0
266,JE-2022-00096,2,4010,CC220,2022-02-21,Sales invoice SI-2022-00050,0.0,1980.87
267,JE-2022-00097,1,1200,CC200,2022-02-22,Sales invoice SI-2022-00051,6072.6,0.0
268,JE-2022-00097,2,4000,CC200,2022-02-22,Sales invoice SI-2022-00051,0.0,5060.5
269,JE-2022-00097,3,2100,CC200,2022-02-22,Output VAT SI-2022-00051,0.0,1012.1
270,JE-2022-00098,1,1200,CC220,2022-02-02,Sales invoice SI-2022-00052,3662.68,0.0
271,JE-2022-00098,2,4010,CC220,2022-02-02,Sales invoice SI-2022-00052,0.0,3662.68
272,JE-2022-00099,1,1200,CC210,2022-02-15,Sales invoice SI-2022-00053,38117.36,0.0
273,JE-2022-00099,2,4000,CC210,2022-02-15,Sales invoice SI-2022-00053,0.0,31764.47
274,JE-2022-00099,3,2100,CC210,2022-02-15,Output VAT SI-2022-00053,0.0,6352.89
275,JE-2022-00100,1,1200,CC220,2022-02-18,Sales invoice SI-2022-00054,872.78,0.0
276,JE-2022-00100,2,4020,CC220,2022-02-18,Sales invoice SI-2022-00054,0.0,872.78
277,JE-2022-00101,1,1200,CC200,2022-02-18,Sales invoice SI-2022-00055,6953.24,0.0
278,JE-2022-00101,2,4000,CC200,2022-02-18,Sales invoice SI-2022-00055,0.0,5794.37
