payment_id,invoice_id,direction,payment_date,currency,amount,amount_gbp,method,bank_reference
RCP-2022-00132,SI-2022-00094,RECEIPT,2022-04-22,GBP,6645.24,6645.24,BACS,BNK280156
RCP-2022-00133,SI-2022-00096,RECEIPT,2022-04-08,GBP,5857.24,5857.24,CHEQUE,BNK703525
RCP-2022-00134,SI-2022-00099,RECEIPT,2022-04-15,GBP,23167.48,23167.48,CHEQUE,BNK408729
RCP-2022-00135,SI-2022-00101,RECEIPT,2022-04-29,GBP,25126.36,25126.36,CHEQUE,BNK861467
RCP-2022-00136,SI-2022-00102,RECEIPT,2022-04-29,GBP,19506.04,19506.04,BACS,BNK174153
RCP-2022-00137,SI-2022-00109,RECEIPT,2022-04-15,GBP,34240.87,34240.87,BACS,BNK365622
RCP-2022-00138,SI-2022-00114,RECEIPT,2022-04-14,GBP,2567.64,2567.64,CARD,BNK260523
RCP-2022-00139,SI-2022-00120,RECEIPT,2022-04-01,GBP,22075.67,22075.67,CARD,BNK406783
RCP-2022-00140,SI-2022-00121,RECEIPT,2022-04-29,GBP,17025.67,17025.67,CHEQUE,BNK818675
RCP-2022-00141,SI-2022-00124,RECEIPT,2022-04-01,GBP,4767.83,4767.83,BACS,BNK866252
RCP-2022-00142,SI-2022-00125,RECEIPT,2022-04-25,GBP,9531.74,9531.74,CARD,BNK396548
RCP-2022-00143,SI-2022-00126,RECEIPT,2022-04-12,GBP,2663.72,2663.72,BACS,BNK430711
RCP-2022-00144,SI-2022-00127,RECEIPT,2022-04-15,EUR,9414.65,7889.08,cheque,BNK557414
RCP-2022-00145,SI-2022-00128,RECEIPT,2022-04-28,EUR,35029.07,29798.91,BACS,BNK210849
RCP-2022-00146,SI-2022-00129,RECEIPT,2022-04-21,GBP,3048.97,3048.97,BACS,BNK230046
RCP-2022-00147,SI-2022-00131,RECEIPT,2022-04-29,EUR,6420.77,5433.85,BACS,BNK786415
RCP-2022-00148,SI-2022-00134,RECEIPT,2022-04-19,GBP,8550.07,8550.07,CHEQUE,BNK110861
RCP-2022-00149,SI-2022-00138,RECEIPT,2022-04-29,GBP,12926.05,12926.05,BACS,BNK429846
RCP-2022-00150,SI-2022-00139,RECEIPT,2022-04-25,GBP,5279.63,5279.63,BACS,BNK863238
RCP-2022-00151,SI-2022-00141,RECEIPT,2022-04-22,USD,17981.71,14285.35,CHEQUE,BNK971304
RCP-2022-00152,SI-2022-00143,RECEIPT,2022-04-20,EUR,3664.3,3094.03,BACS,BNK186769
PAY-2022-00153,PI-2022-00027,PAYMENT,2022-03-25,EUR,7867.72,6627.27,DD,BNK838153
PAY-2022-00154,PI-2022-00037,PAYMENT,2022-04-15,GBP,3382.66,3382.66,DD,BNK852790
PAY-2022-00155,PI-2022-00042,PAYMENT,2022-03-18,GBP,1197.58,1197.58,BACS,BNK557884
PAY-2022-00156,PI-2022-00047,PAYMENT,2022-03-25,USD,1254.89,999.48,DD,BNK811985
PAY-2022-00157,PI-2022-00049,PAYMENT,2022-04-05,GBP,7716.61,7716.61,CHEQUE,BNK764454
PAY-2022-00158,PI-2022-00054,PAYMENT,2022-04-08,GBP,2841.55,2841.55,BACS,BNK928937
PAY-2022-00159,PI-2022-00056,PAYMENT,2022-04-25,GBP,8216.04,8216.04,CHEQUE,BNK158054
PAY-2022-00160,PI-2022-00057,PAYMENT,2022-04-18,GBP,5180.59,5180.59,DD,BNK342310
PAY-2022-00161,PI-2022-00060,PAYMENT,2022-04-13,GBP,5733.05,5733.05,CHEQUE,BNK414690
PAY-2022-00162,PI-2022-00062,PAYMENT,2022-03-23,EUR,607.05,512.99,DD,BNK629311
PAY-2022-00163,PI-2022-00064,PAYMENT,2022-04-22,EUR,827.94,704.69,BACS,BNK998921
PAY-2022-00164,PI-2022-00068,PAYMENT,2022-04-22,GBP,4003.31,4003.31,BACS,BNK634143
PAY-2022-00165,PI-2022-00070,PAYMENT,2022-04-28,GBP,35727.31,35727.31,CHEQUE,BNK916533
PAY-2022-00166,PI-2022-00071,PAYMENT,2022-04-06,EUR,12374.92,10331.29,BACS,BNK657548
PAY-2022-00167,PI-2022-00072,PAYMENT,2022-04-20,GBP,29923.09,29923.09,cheque,BNK143299
PAY-2022-00168,PI-2022-00074,PAYMENT,2022-04-15,EUR,17288.61,14487.13,DD,BNK268900
PAY-2022-00169,PI-2022-00075,PAYMENT,2022-04-08,GBP,2424.19,2424.19,CHEQUE,BNK581377
PAY-2022-00170,PI-2022-00077,PAYMENT,2022-04-22,GBP,6625.13,6625.13,CHEQUE,BNK796790
PAY-2022-00171,PI-2022-00078,PAYMENT,2022-04-20,EUR,1132.41,956.17,BACS,BNK999477
PAY-2022-00172,PI-2022-00079,PAYMENT,2022-04-27,USD,2901.12,2279.33,CHEQUE,BNK871856
PAY-2022-00173,PI-2022-00080,PAYMENT,2022-04-14,EUR,1506.03,1258.82,DD,BNK951707
PAY-2022-00174,PI-2022-00082,PAYMENT,2022-04-22,EUR,611.22,520.23,DD,BNK360859
PAY-2022-00175,PI-2022-00085,PAYMENT,2022-04-22,GBP,10910.02,10910.02,BACS,BNK145074
PAY-2022-00176,PI-2022-00088,PAYMENT,2022-04-08,GBP,3158.9,3158.9,CHEQUE,BNK424908
PAY-2022-00177,PI-2022-00089,PAYMENT,2022-04-11,EUR,1505.88,1252.36,BACS,BNK231570
PAY-2022-00178,PI-2022-00090,PAYMENT,2022-04-29,GBP,2332.1,2332.1,CHEQUE,BNK815745
PAY-2022-00179,PI-2022-00091,PAYMENT,2022-03-28,EUR,5059.2,4262.25,BACS,BNK410464
PAY-2022-00180,PI-2022-00092,PAYMENT,2022-04-08,GBP,10155.9,10155.9,DD,BNK821870
PAY-2022-00181,PI-2022-00093,PAYMENT,2022-04-27,USD,2666.85,2095.27,DD,BNK632314
PAY-2022-00182,PI-2022-00094,PAYMENT,2022-04-22,USD,4479.16,3558.41,BACS,BNK225587
PAY-2022-00183,PI-2022-00096,PAYMENT,2022-04-15,USD,4073.77,3245.69,DD,BNK896178
PAY-2022-00184,PI-2022-00097,PAYMENT,2022-04-26,GBP,19677.2,19677.2,BACS,BNK127408
PAY-2022-00185,PI-2022-00098,PAYMENT,2022-04-15,EUR,2832.17,2373.24,BACS,BNK737996
PAY-2022-00186,PI-2022-00099,PAYMENT,2022-04-26,USD,425.1,336.77,BACS,BNK632686
PAY-2022-00187,PI-2022-00125,PAYMENT,2022-04-22,EUR,997.64,849.12,CHEQUE,BNK358505
PAY-2022-00188,PI-2022-00127,PAYMENT,2022-04-29,GBP,1137.35,1137.35,DD,BNK510327
PAY-2022-00189,PI-2022-00131,PAYMENT,2022-04-25,EUR,1634.76,1398.31,BACS,BNK364977
RCP-2022-00190,SI-2022-00020,RECEIPT,2022-04-18,EUR,5829.62,4907.2,bacs,BNK177667
RCP-2022-00191,SI-2022-00028,RECEIPT,2022-03-25,EUR,7455.96,6280.43,BACS,BNK182338
RCP-2022-00192,SI-2022-00036,RECEIPT,2022-05-23,EUR,10020.21,8139.08,CARD,BNK495157
RCP-2022-00193,SI-2022-00048,RECEIPT,2022-04-15,GBP,29412.35,29412.35,BACS,BNK128151
RCP-2022-00194,SI-2022-00049,RECEIPT,2022-05-04,EUR,8684.77,7306.17,BACS,BNK886811
RCP-2022-00195,SI-2022-00055,RECEIPT,2022-04-08,GBP,6953.24,6953.24,BACS,BNK424613
RCP-2022-00196,SI-2022-00064,RECEIPT,2022-05-04,GBP,4580.89,4580.89,CHEQUE,BNK335310
RCP-2022-00197,SI-2022-00065,RECEIPT,2022-04-26,GBP,10151.14,10151.14,BACS,BNK986078
RCP-2022-00198,SI-2022-00066,RECEIPT,2022-05-19,EUR,3788.62,3079.3,BACS,BNK591935
RCP-2022-00199,SI-2022-00071,RECEIPT,2022-05-25,GBP,10689.0,10689.0,CHEQUE,BNK198063
RCP-2022-00200,SI-2022-00074,RECEIPT,2022-05-27,EUR,6466.09,5291.49,BACS,BNK298056
RCP-2022-00201,SI-2022-00085,RECEIPT,2022-05-02,GBP,5589.66,5589.66,BACS,BNK346230
RCP-2022-00202,SI-2022-00089,RECEIPT,2022-04-15,GBP,15018.54,15018.54,CHEQUE,BNK552287
RCP-2022-00203,SI-2022-00097,RECEIPT,2022-04-01,GBP,46905.97,46905.97,BACS,BNK433185
RCP-2022-00204,SI-2022-00098,RECEIPT,2022-05-16,GBP,8664.31,8664.31,BACS,BNK780772
RCP-2022-00205,SI-2022-00103,RECEIPT,2022-05-27,GBP,10491.18,10491.18,BACS,BNK276854
RCP-2022-00206,SI-2022-00104,RECEIPT,2022-04-25,GBP,9151.5,9151.5,BACS,BNK160096
RCP-2022-00207,SI-2022-00105,RECEIPT,2022-04-18,USD,3208.03,2550.08,CARD,BNK548331
RCP-2022-00208,SI-2022-00111,RECEIPT,2022-05-24,GBP,4327.58,4327.58,BACS,BNK684277
RCP-2022-00209,SI-2022-00112,RECEIPT,2022-05-13,GBP,10813.2,10813.2,CARD,BNK896353
RCP-2022-00210,SI-2022-00116,RECEIPT,2022-05-12,GBP,43403.64,43403.64,BACS,BNK516719
RCP-2022-00211,SI-2022-00117,RECEIPT,2022-05-06,USD,2558.44,2000.72,CARD,BNK534720
RCP-2022-00212,SI-2022-00130,RECEIPT,2022-05-02,GBP,17484.58,17484.58,CARD,BNK499090
RCP-2022-00213,SI-2022-00137,RECEIPT,2022-04-27,GBP,3887.06,3887.06,cheque,BNK235864
RCP-2022-00214,SI-2022-00142,RECEIPT,2022-05-12,USD,6627.7,5149.25,BACS,BNK475672
RCP-2022-00215,SI-2022-00144,RECEIPT,2022-05-27,EUR,2927.99,2396.1,BACS,BNK604448
RCP-2022-00216,SI-2022-00146,RECEIPT,2022-05-13,GBP,11961.16,11961.16,CHEQUE,BNK899159
RCP-2022-00217,SI-2022-00149,RECEIPT,2022-05-13,EUR,32362.62,26686.51,BACS,BNK375773
RCP-2022-00218,SI-2022-00150,RECEIPT,2022-05-19,EUR,3039.02,2470.05,BACS,BNK291003
RCP-2022-00219,SI-2022-00152,RECEIPT,2022-05-13,GBP,39550.61,39550.61,CHEQUE,BNK353285
RCP-2022-00220,SI-2022-00153,RECEIPT,2022-05-13,GBP,19481.8,19481.8,BACS,BNK706261
RCP-2022-00221,SI-2022-00154,RECEIPT,2022-05-24,GBP,19096.92,19096.92,BACS,BNK418719
RCP-2022-00222,SI-2022-00159,RECEIPT,2022-05-19,GBP,3860.14,3860.14,CHEQUE,BNK103728
RCP-2022-00223,SI-2022-00162,RECEIPT,2022-05-13,GBP,16048.03,16048.03,BACS,BNK425542
RCP-2022-00224,SI-2022-00164,RECEIPT,2022-05-03,GBP,14968.32,14968.32,BACS,BNK207257
RCP-2022-00225,SI-2022-00165,RECEIPT,2022-05-23,GBP,7617.79,7617.79,BACS,BNK800602
RCP-2022-00226,SI-2022-00170,RECEIPT,2022-05-30,GBP,6854.71,6854.71,BACS,BNK519600
RCP-2022-00227,SI-2022-00171,RECEIPT,2022-05-19,GBP,13724.99,13724.99,BACS,BNK783013
RCP-2022-00228,SI-2022-00172,RECEIPT,2022-05-27,EUR,12251.49,10025.93,CARD,BNK407463
RCP-2022-00229,SI-2022-00174,RECEIPT,2022-05-09,GBP,1526.0,1526.0,CARD,BNK599532
RCP-2022-00230,SI-2022-00180,RECEIPT,2022-05-06,EUR,57256.74,47977.03,CARD,BNK316748
RCP-2022-00231,SI-2022-00182,RECEIPT,2022-05-20,EUR,13614.18,11135.17,CHEQUE,BNK698487
RCP-2022-00232,SI-2022-00183,RECEIPT,2022-05-23,GBP,16616.8,16616.8,CHEQUE,BNK705115
RCP-2022-00233,SI-2022-00184,RECEIPT,2022-05-23,EUR,4040.1,3281.64,BACS,BNK465003
RCP-2022-00234,SI-2022-00186,RECEIPT,2022-05-13,USD,4372.38,3414.51,BACS,BNK800073
RCP-2022-00235,SI-2022-00187,RECEIPT,2022-05-27,USD,2797.1,2199.04,CHEQUE,BNK255566
RCP-2022-00236,SI-2022-00188,RECEIPT,2022-05-06,GBP,3629.57,3629.57,bacs,BNK535993
RCP-2022-00237,SI-2022-00194,RECEIPT,2022-05-27,GBP,9008.23,9008.23,BACS,BNK490152
RCP-2022-00238,SI-2022-00195,RECEIPT,2022-05-26,GBP,7093.43,7093.43,CARD,BNK793605
PAY-2022-00239,PI-2022-00046,PAYMENT,2022-04-27,EUR,4087.71,3490.43,BACS,BNK464182
PAY-2022-00240,PI-2022-00055,PAYMENT,2022-05-06,GBP,1793.68,1793.68,CHEQUE,BNK713967
PAY-2022-00241,PI-2022-00073,PAYMENT,2022-04-29,GBP,528.13,528.13,BACS,BNK538897
PAY-2022-00242,PI-2022-00076,PAYMENT,2022-04-28,EUR,888.84,756.13,DD,BNK110875
PAY-2022-00243,PI-2022-00081,PAYMENT,2022-04-22,GBP,527.38,527.38,DD,BNK316028
